site::filter,page_name::filter,page_url,content_id,id_count,row_num,,,,,
oyster,hotel.detail,https://www.oyster.com/palm-desert/hotels/embarc-palm-desert/,99429,70,1,,,,,
oyster,hotel.detail,https://www.oyster.com/tampa/hotels/grand-hyatt-tampa-bay/photos/casita-suite/,87585,70,1,,,,,
oyster,hotel.detail,https://www.oyster.com/toronto/hotels/chelsea-hotel-toronto/,93497,69,1,,,,,
oyster,hotel.detail,https://www.oyster.com/oahu/hotels/alohilani-resort-waikiki-beach/,100062,69,1,,,,,
oyster,hotel.detail,https://www.oyster.com/los-cabos/hotels/montage-los-cabos/,108844,69,1,,,,,
oyster,hotel.detail,https://www.oyster.com/maui/hotels/honua-kai-resort-and-spa/,112097,69,1,,,,,
oyster,hotel.detail,https://www.oyster.com/new-york-city/hotels/pod-51/,8089,68,1,,,,,
oyster,hotel.detail,https://www.oyster.com/los-angeles/hotels/the-hollywood-roosevelt/,7827,68,1,,,,,
oyster,hotel.detail,https://www.oyster.com/five-islands-village/hotels/galley-bay-resort-and-spa/,90747,68,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/planet-hollywood-hotel-and-casino/,11503,68,1,,,,,
oyster,hotel.detail,https://www.oyster.com/clearwater/hotels/sandpearl-resort/,109342,67,1,,,,,
oyster,hotel.detail,https://www.oyster.com/atlantic-city/hotels/caesars-atlantic-city/,28939,67,1,,,,,
oyster,hotel.detail,https://www.oyster.com/belize/hotels/coco-beach-resort/,95687,67,1,,,,,
oyster,hotel.detail,https://www.oyster.com/orlando/hotels/caribe-royale-all-suite-hotel-and-convention-center/,100139,67,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-nayarit/hotels/hard-rock-hotel-vallarta/,64164,66,1,,,,,
oyster,hotel.detail,https://www.oyster.com/las-vegas/hotels/tahiti-village/,110489,66,1,,,,,
oyster,hotel.detail,https://www.oyster.com/es/playa-del-carmen/hotels/hotel-xcaret-mexico/photos/garden-view/,18494,66,1,,,,,
oyster,hotel.detail,https://www.oyster.com/dominican-republic/hotels/bluebay-villas-doradas-adults-only/,101551,65,1,,,,,
oyster,hotel.detail,https://www.oyster.com/palm-springs/hotels/two-bunch-palms/,101324,65,1,,,,,
oyster,hotel.detail,https://www.oyster.com/new-york-city/hotels/dream-downtown/,89631,65,1,,,,,
oyster,hotel.detail,https://www.oyster.com/times-square/hotels/the-knickerbocker/,97936,65,1,,,,,
oyster,hotel.detail,https://www.oyster.com/fort-lauderdale/hotels/w-fort-lauderdale/,91183,65,1,,,,,
oyster,hotel.detail,https://www.oyster.com/sarasota/hotels/lido-beach-resort/,99963,64,1,,,,,
oyster,hotel.detail,https://www.oyster.com/paris/hotels/hotel-regina-louvre/,106750,64,1,,,,,
oyster,hotel.detail,https://www.oyster.com/puerto-rico/hotels/condado-vanderbilt-hotel/,19055,64,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/el-dorado-maroma-by-karisma/,115289,64,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-nayarit/hotels/grand-luxxe-at-vidanta-nuevo-vallarta/,89777,64,1,,,,,
oyster,hotel.detail,https://www.oyster.com/new-york-city/hotels/yotel-new-york/,11560,64,1,,,,,
oyster,hotel.detail,https://www.oyster.com/playa-del-carmen/hotels/grand-riviera-princess-all-suites-resort-and-spa/,109455,64,1,,,,,
oyster,hotel.detail,https://www.oyster.com/akumal/hotels/unico-20-87-hotel-riviera-maya/,107188,64,1,,,,,
oyster,hotel.detail,https://www.oyster.com/riviera-maya/hotels/barcelo-maya-colonial/,12821,63,1,,,,,
oyster,hotel.detail,https://www.oyster.com/pocono-mountains-region/hotels/kalahari-resort-pocono-mountains/,36704,63,1,,,,,
oyster,hotel.detail,https://www.oyster.com/zion-national-park/hotels/zion-lodge/,101736,63,1,,,,,
oyster,hotel.detail,https://www.oyster.com/washington-dc/hotels/jw-marriott-hotel-washington-dc/,17670,63,1,,,,,
